Date,Symbol,SecurityName,Quantity,YEAR
26-AUG-2022,AUBANK,AU SMALL FINANCE BANK LIMITED,"37,000",2022
29-AUG-2022,ASTRAL,ASTRAL POLY TECHNIK LIMITED,825,2022
29-AUG-2022,AUBANK,AU SMALL FINANCE BANK LIMITED,"26,000",2022
29-AUG-2022,DRREDDY,DR. REDDY'S LABORATORIES,"1,375",2022
29-AUG-2022,INFY,INFOSYS TECHNOLOGIES LTD,300,2022
29-AUG-2022,MUTHOOTFIN,MUTHOOT FINANCE LIMITED,"22,500",2022
29-AUG-2022,NAUKRI,INFO EDGE (I) LTD,250,2022
30-AUG-2022,ASTRAL,ASTRAL POLY TECHNIK LIMITED,"9,900",2022
30-AUG-2022,BHARTIARTL,BHARTI AIRTEL LIMITED,"47,500",2022
30-AUG-2022,DRREDDY,DR. REDDY'S LABORATORIES,375,2022
30-AUG-2022,NAUKRI,INFO EDGE (I) LTD,375,2022
01-SEP-2022,BHARTIARTL,BHARTI AIRTEL LIMITED,"3,37,250",2022
01-SEP-2022,DRREDDY,DR. REDDY'S LABORATORIES,"11,125",2022
01-SEP-2022,INFY,INFOSYS TECHNOLOGIES LTD,"16,200",2022
01-SEP-2022,LT,LARSEN & TOUBRO LTD.,"1,200",2022
01-SEP-2022,TVSMOTOR,TVS MOTOR COMPANY  LTD,"42,000",2022
02-SEP-2022,BHARATFORG,BHARAT FORGE LTD,"7,000",2022
02-SEP-2022,LT,LARSEN & TOUBRO LTD.,"57,000",2022
05-SEP-2022,BHARATFORG,BHARAT FORGE LTD,"60,000",2022
05-SEP-2022,DRREDDY,DR. REDDY'S LABORATORIES,"15,000",2022
07-SEP-2022,TVSMOTOR,TVS MOTOR COMPANY  LTD,"1,400",2022
09-SEP-2022,DRREDDY,DR. REDDY'S LABORATORIES,"5,750",2022
09-SEP-2022,EICHERMOT,EICHER MOTORS LIMITED,"9,450",2022
12-SEP-2022,EICHERMOT,EICHER MOTORS LIMITED,"18,200",2022
13-SEP-2022,EICHERMOT,EICHER MOTORS LIMITED,"8,050",2022
13-SEP-2022,INFY,INFOSYS TECHNOLOGIES LTD,"30,000",2022
13-SEP-2022,LT,LARSEN & TOUBRO LTD.,"17,100",2022
14-SEP-2022,INFY,INFOSYS TECHNOLOGIES LTD,"29,700",2022
14-SEP-2022,POLYCAB,POLYCAB INDIA LIMITED,"12,600",2022
15-SEP-2022,BAJAJFINSV,BAJAJ FINSERV LIMITED,"11,000",2022
16-SEP-2022,BAJAJFINSV,BAJAJ FINSERV LIMITED,"31,000",2022
16-SEP-2022,BHARTIARTL,BHARTI AIRTEL LIMITED,"9,500",2022
20-SEP-2022,BAJAJFINSV,BAJAJ FINSERV LIMITED,"64,000",2022
20-SEP-2022,GUJGASLTD,GUJARAT GAS LIMITED,"15,000",2022
20-SEP-2022,POLYCAB,POLYCAB INDIA LIMITED,"4,800",2022
20-SEP-2022,SBIN,STATE BANK OF INDIA,"81,000",2022
20-SEP-2022,TVSMOTOR,TVS MOTOR COMPANY  LTD,"16,388",2022
21-SEP-2022,BHARATFORG,BHARAT FORGE LTD,"24,000",2022
21-SEP-2022,CROMPTON,CROMPT GREA CON ELEC LTD  ,"13,500",2022
21-SEP-2022,TVSMOTOR,TVS MOTOR COMPANY  LTD,"4,200",2022
22-SEP-2022,MUTHOOTFIN,MUTHOOT FINANCE LIMITED,"20,250",2022
22-SEP-2022,SBIN,STATE BANK OF INDIA,"16,500",2022
23-SEP-2022,GUJGASLTD,GUJARAT GAS LIMITED,"26,250",2022
23-SEP-2022,MRF,MRF LTD,570,2022
23-SEP-2022,MUTHOOTFIN,MUTHOOT FINANCE LIMITED,"5,250",2022
23-SEP-2022,POLYCAB,POLYCAB INDIA LIMITED,"4,200",2022
26-SEP-2022,CROMPTON,CROMPT GREA CON ELEC LTD,"82,500",2022
26-SEP-2022,CROMPTON,CROMPT GREA CON ELEC LTD  ,"82,500",2022
26-SEP-2022,CUB,CITY UNION BANK LTD,"1,80,000",2022
26-SEP-2022,CUB,CITY UNION BANK LTD      ,"1,80,000",2022
26-SEP-2022,GUJGASLTD,GUJARAT GAS LIMITED,"2,500",2022
26-SEP-2022,IRCTC,INDIAN RAIL TOUR CORP LTD,"22,750",2022
26-SEP-2022,POLYCAB,POLYCAB INDIA LIMITED,"15,000",2022
26-SEP-2022,SBIN,STATE BANK OF INDIA,"1,50,000",2022
27-SEP-2022,BAJAJFINSV,BAJAJ FINSERV LIMITED,"10,000",2022
27-SEP-2022,COFORGE,COFORGE LIMITED,"6,600",2022
27-SEP-2022,CUB,CITY UNION BANK LTD,"20,000",2022
27-SEP-2022,LTTS,L&T TECHNOLOGY SER. LTD,"2,800",2022
28-SEP-2022,COFORGE,COFORGE LIMITED,"7,050",2022
30-SEP-2022,CIPLA,CIPLA LTD,"52,000",2022
30-SEP-2022,DEEPAKNTR,DEEPAK NITRITE LIMITED,"7,250",2022
30-SEP-2022,DRREDDY,DR. REDDY'S LABORATORIES,"1,125",2022
07-OCT-2022,TATAMOTORS,TATA MOTORS LIMITED,"85,500",2022
11-OCT-2022,COFORGE,COFORGE LIMITED,150,2022
11-OCT-2022,DRREDDY,DR. REDDY'S LABORATORIES,"1,875",2022
11-OCT-2022,TATAMOTORS,TATA MOTORS LIMITED,"1,09,725",2022
12-OCT-2022,TATAMOTORS,TATA MOTORS LIMITED,"96,900",2022
13-OCT-2022,DIXON,DIXON TECHNO (INDIA) LTD,375,2022
13-OCT-2022,IRCTC,INDIAN RAIL TOUR CORP LTD,"22,750",2022
