industry,macro_sector,constituent_count,breadth_status,reliability_tier,confidence_score,current_strength,leadership_state,leadership_acceleration,forward_opportunity_score,best_horizon,final_opportunity_class,5D_exp_ret,10D_exp_ret,20D_exp_ret,30D_exp_ret,5D_exp_excess,10D_exp_excess,20D_exp_excess,30D_exp_excess,20D_P10,20D_P25,20D_P50,20D_P75,20D_P90,20D_P95,20D_P_pos,20D_P_gt_5,20D_P_gt_8,20D_P_gt_10,20D_P_gt_15,upside_asymmetry_score,model_consensus_score,analog_quality_score,data_completeness,regime_compatibility,primary_strength_rank,primary_opportunity_rank
Services,Other,16,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,80.5,15.0,NEUTRAL,50.0,29.8,30D,LAGGARD,-1.41,-1.85,-2.31,-2.61,-1.56,-2.2,-3.11,-3.81,-9.13,-5.02,-0.91,2.4,5.7,8.16,29.9,13.3,6.9,4.7,1.8,44.1,86.4,79.2,100.0%,HIGH,42,45
Media & Entertainment,Other,23,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,84.0,10.3,NEUTRAL,50.0,29.5,30D,LAGGARD,-1.58,-2.1,-2.66,-3.04,-1.73,-2.45,-3.46,-4.24,-8.55,-5.09,-1.62,1.95,5.53,8.05,27.3,12.0,6.3,4.4,1.7,53.0,86.4,79.2,100.0%,HIGH,52,46
Renewable Energy - Solar & Wind,Other,10,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,65.0,6.1,NEUTRAL,50.0,29.0,30D,LAGGARD,-1.63,-2.17,-2.77,-3.17,-1.78,-2.52,-3.57,-4.37,-11.3,-6.34,-1.38,3.71,8.8,12.16,26.5,11.7,6.1,4.2,1.6,53.2,86.4,79.2,100.0%,HIGH,69,47
Oil Exploration & Refining,Other,15,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,80.0,9.6,NEUTRAL,50.0,29.0,30D,LAGGARD,-1.53,-2.02,-2.55,-2.91,-1.68,-2.37,-3.35,-4.11,-10.85,-6.31,-1.77,2.23,6.23,8.46,28.1,12.4,6.5,4.5,1.7,46.5,86.4,79.2,100.0%,HIGH,56,47
Power,Other,6,PRIMARY_ELIGIBLE,MODERATE_RELIABILITY,49.0,7.2,NEUTRAL,50.0,28.9,30D,LAGGARD,-1.65,-2.19,-2.8,-3.21,-1.8,-2.54,-3.6,-4.41,-9.88,-5.3,-0.71,4.03,8.78,21.54,26.3,11.6,6.1,4.2,1.6,53.4,86.4,79.2,100.0%,HIGH,63,49
Textiles & Apparel,Other,29,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,87.0,12.9,NEUTRAL,50.0,28.7,30D,LAGGARD,-1.5,-1.99,-2.51,-2.85,-1.65,-2.34,-3.31,-4.05,-10.79,-5.68,-0.57,3.67,7.91,23.09,28.4,12.6,6.6,4.5,1.7,43.3,86.4,79.2,100.0%,HIGH,46,50
Diversified Retail,Other,10,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,65.0,12.7,NEUTRAL,50.0,28.5,30D,LAGGARD,-1.51,-2.0,-2.52,-2.87,-1.66,-2.35,-3.32,-4.07,-11.33,-5.18,0.98,6.17,11.36,13.89,28.3,12.5,6.5,4.5,1.7,42.3,86.4,79.2,100.0%,HIGH,47,51
Residential & Commercial Real Estate,Other,37,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,91.0,11.1,NEUTRAL,50.0,28.5,30D,LAGGARD,-1.54,-2.04,-2.59,-2.95,-1.69,-2.39,-3.39,-4.15,-11.29,-6.38,-1.48,2.69,6.85,9.33,27.8,12.3,6.4,4.4,1.7,44.6,86.4,79.2,100.0%,HIGH,50,51
Insurance,Other,10,PRIMARY_ELIGIBLE,HIGH_RELIABILITY,65.0,8.0,NEUTRAL,50.0,28.4,30D,LAGGARD,-1.65,-2.2,-2.81,-3.22,-1.8,-2.55,-3.61,-4.42,-9.5,-5.73,-1.96,1.69,5.34,7.34,26.2,11.5,6.1,4.2,1.6,50.6,86.4,79.2,100.0%,HIGH,61,53
IT Consulting & Software,Other,28,PRIMARY_ELIGIBLE,VERY_HIGH_RELIABILITY,86.5,9.8,NEUTRAL,50.0,28.4,30D,LAGGARD,-1.68,-2.24,-2.86,-3.28,-1.83,-2.59,-3.66,-4.48,-10.9,-6.57,-2.23,2.11,6.45,8.44,25.9,11.4,6.0,4.1,1.6,51.9,86.4,79.2,100.0%,HIGH,53,53
