date,industry,early_radar_score,alert_tier,accumulation_pressure,cross_stock_synchronization,prob_5d,ind_fwd_5d,major_industry_move_5d
2024-12-10,Specialty Chemicals,75.6,PRE-BREAKOUT (High Conviction),85.1,64.4,0.10942966377258925,0.7942030054569762,0
2024-12-11,Specialty Chemicals,58.1,WATCH (Unusual Precursor),63.2,64.1,0.10701619166553211,-1.1536923435307869,0
2025-01-03,Specialty Chemicals,57.7,WATCH (Unusual Precursor),56.7,54.3,0.07453615389831555,-5.100413063687237,0
2025-01-20,Specialty Chemicals,58.0,WATCH (Unusual Precursor),53.4,60.0,0.12126061099042347,-7.778810851825737,0
2025-02-05,Specialty Chemicals,59.0,WATCH (Unusual Precursor),48.1,53.3,0.12297820656003813,-7.359700386231189,0
2025-02-06,Specialty Chemicals,55.7,WATCH (Unusual Precursor),45.8,51.1,0.11030279845563482,-8.347295148589245,0
2025-03-06,Specialty Chemicals,59.4,WATCH (Unusual Precursor),54.5,40.6,0.09184694450028848,-4.0394674598999005,0
2025-03-21,Specialty Chemicals,57.6,WATCH (Unusual Precursor),53.0,45.8,0.08774279483352983,-4.020347902980292,0
2025-03-24,Specialty Chemicals,67.2,EARLY (Elevated Probability),61.1,53.2,0.1404292919603757,-3.2990911041746576,0
2025-04-03,Specialty Chemicals,60.6,WATCH (Unusual Precursor),63.5,55.2,0.11601001902576993,-2.560759807375759,0
2025-04-15,Specialty Chemicals,57.9,WATCH (Unusual Precursor),61.8,56.7,0.12507505800801502,4.057093521499914,0
2025-04-16,Specialty Chemicals,57.6,WATCH (Unusual Precursor),56.4,68.8,0.12311432131452689,2.60751212125507,0
2025-04-21,Specialty Chemicals,60.7,WATCH (Unusual Precursor),63.6,74.0,0.11550892381736835,-2.234785218824878,0
2025-04-22,Specialty Chemicals,59.4,WATCH (Unusual Precursor),57.2,79.8,0.12068132745280662,-2.633963416500336,0
2025-05-12,Specialty Chemicals,59.7,WATCH (Unusual Precursor),72.1,65.2,0.12916372830230702,7.53683072250027,0
2025-05-13,Specialty Chemicals,67.3,EARLY (Elevated Probability),79.1,79.8,0.12254674993394213,5.7740087228996835,0
2025-05-14,Specialty Chemicals,73.7,EARLY (Elevated Probability),84.2,79.8,0.1194413046001526,3.762902214415214,0
2025-05-15,Specialty Chemicals,70.8,EARLY (Elevated Probability),74.7,81.9,0.11684881366446401,2.9729919564662692,0
2025-05-16,Specialty Chemicals,66.2,EARLY (Elevated Probability),65.9,86.2,0.11179054581078207,2.0284677799454047,0
2025-05-19,Specialty Chemicals,77.4,PRE-BREAKOUT (High Conviction),86.9,80.2,0.13268233240791014,1.2196531558671952,0
2025-06-11,Specialty Chemicals,60.4,WATCH (Unusual Precursor),72.9,77.2,0.17102884699805185,-1.265357506124589,0
2025-06-25,Specialty Chemicals,66.6,EARLY (Elevated Probability),74.0,80.9,0.10903437399655848,0.5645511363438579,0
2025-06-26,Specialty Chemicals,59.5,WATCH (Unusual Precursor),56.7,83.0,0.18268136559456813,1.0576064789037372,0
2025-06-27,Specialty Chemicals,72.4,EARLY (Elevated Probability),73.9,86.2,0.14564638028310814,1.0322175503729105,0
2025-06-30,Specialty Chemicals,79.6,PRE-BREAKOUT (High Conviction),81.4,90.4,0.11784732057211667,-0.7845647947661278,0
2025-07-01,Specialty Chemicals,64.3,WATCH (Unusual Precursor),64.3,79.8,0.11480458595648106,-0.6661084182057601,0
2025-07-15,Specialty Chemicals,55.0,WATCH (Unusual Precursor),59.6,64.9,0.1200558828939945,-0.873714249630411,0
2025-08-18,Specialty Chemicals,56.8,WATCH (Unusual Precursor),55.1,41.8,0.09367236121244776,-0.11113034772398549,0
2025-08-19,Specialty Chemicals,59.7,WATCH (Unusual Precursor),58.3,44.9,0.09640586928043625,2.09700878264147,0
2025-08-20,Specialty Chemicals,56.0,WATCH (Unusual Precursor),52.0,44.7,0.09640586928043625,0.22435453500458227,0
2026-07-02,Specialty Chemicals,57.7,WATCH (Unusual Precursor),56.0,33.3,0.09106342387880967,-0.7860441208521887,0
2026-07-31,Specialty Chemicals,58.9,WATCH (Unusual Precursor),58.4,53.4,0.08953968517287135,2.9749356696046205,0
2026-08-03,Specialty Chemicals,63.3,WATCH (Unusual Precursor),66.1,56.7,0.08953968517287135,1.5382748548773724,0
2026-08-04,Specialty Chemicals,57.7,WATCH (Unusual Precursor),57.6,60.0,0.08953968517287135,1.0590396774809643,0
2026-08-06,Specialty Chemicals,65.5,EARLY (Elevated Probability),68.4,65.0,0.09777859504333307,1.0571014441641777,0
2026-08-07,Specialty Chemicals,59.5,WATCH (Unusual Precursor),61.4,60.8,0.06806895305465127,0.7501501179214025,0
2026-08-11,Specialty Chemicals,57.6,WATCH (Unusual Precursor),66.4,54.0,0.07874454305015213,0.217508598144328,0
2026-08-12,Specialty Chemicals,58.7,WATCH (Unusual Precursor),69.0,52.5,0.08625339235185024,0.35164958401209545,0
2024-05-16,Specialty Retail Boutiques,56.2,WATCH (Unusual Precursor),52.2,58.3,0.09192322349090937,1.203881771946149,0
2024-05-17,Specialty Retail Boutiques,61.9,WATCH (Unusual Precursor),56.8,66.7,0.1188825673931828,-0.7230079716084378,0
2024-05-20,Specialty Retail Boutiques,62.8,WATCH (Unusual Precursor),52.8,70.8,0.11215519170968195,-3.2662275329577386,0
2024-05-21,Specialty Retail Boutiques,62.1,WATCH (Unusual Precursor),57.7,58.3,0.13494225784100214,-3.743454208859609,0
2024-05-22,Specialty Retail Boutiques,78.0,PRE-BREAKOUT (High Conviction),81.6,66.7,0.10330472019289753,-3.651339831162273,0
2024-05-23,Specialty Retail Boutiques,56.2,WATCH (Unusual Precursor),52.5,54.2,0.07183968540285807,-3.365156115903046,0
2024-06-03,Specialty Retail Boutiques,56.2,WATCH (Unusual Precursor),59.7,46.2,0.10788570746804166,3.257633099080003,0
2024-06-07,Specialty Retail Boutiques,59.5,WATCH (Unusual Precursor),52.1,69.2,0.12126061099042347,6.084621448773914,0
2024-06-11,Specialty Retail Boutiques,67.4,EARLY (Elevated Probability),58.3,80.8,0.12345748122661779,3.599432011944541,0
2024-06-12,Specialty Retail Boutiques,73.2,EARLY (Elevated Probability),67.8,76.9,0.1218914841470964,2.510881571741815,0
2024-06-13,Specialty Retail Boutiques,71.3,EARLY (Elevated Probability),68.7,73.1,0.13055389927338198,2.399619303939162,0
2024-06-14,Specialty Retail Boutiques,76.1,PRE-BREAKOUT (High Conviction),78.9,73.1,0.13851595327089752,-0.22540278505608533,0
2024-06-17,Specialty Retail Boutiques,61.8,WATCH (Unusual Precursor),66.4,65.4,0.09234087017433713,1.4010951269361793,0
2024-07-12,Specialty Retail Boutiques,56.0,WATCH (Unusual Precursor),63.0,73.1,0.10073473311555349,-3.981166645905404,0
