industry,constituent_count,reliability_tier,20D_exp_ret,P10,P25,P50,P75,P90,P95,Upside_Spread (P90-P50),Downside_Spread (P50-P10)
Stockbroking & Financial Products,16,VERY_HIGH_RELIABILITY,-2.49,-12.95,-6.86,-0.77,3.55,7.87,11.18,8.64,12.18
Structural Steel Tubes & Pipes,1,RESEARCH_ONLY,-0.08,-7.08,-3.35,0.38,5.04,9.7,11.6,9.32,7.46
Sugar & Bio-Ethanol,28,VERY_HIGH_RELIABILITY,-1.48,-8.07,-4.33,-0.58,3.56,7.69,11.97,8.27,7.49
Superalloys & Special Metals,1,RESEARCH_ONLY,-0.12,-10.23,-5.3,-0.38,5.78,11.94,18.78,12.32,9.85
Tea & Coffee,13,HIGH_RELIABILITY,-1.39,-8.7,-4.44,-0.17,4.26,8.69,12.47,8.86,8.53
Telecom Services & Infrastructure,10,HIGH_RELIABILITY,-2.94,-7.91,-4.43,-0.94,2.69,6.33,8.73,7.27,6.97
Telecommunication,6,MODERATE_RELIABILITY,-3.11,-10.19,-5.63,-1.07,3.24,7.54,10.22,8.61,9.12
Textiles,3,RESEARCH_ONLY,0.03,-6.96,-2.7,1.57,6.77,11.98,16.59,10.41,8.53
Textiles & Apparel,29,VERY_HIGH_RELIABILITY,-2.51,-10.79,-5.68,-0.57,3.67,7.91,23.09,8.48,10.22
"Textiles, Yarns & Apparel",15,VERY_HIGH_RELIABILITY,-1.21,-9.63,-5.08,-0.53,4.36,9.24,17.39,9.77,9.1
Tractors & Farm Equipment,2,RESEARCH_ONLY,-1.86,-9.95,-5.23,-0.51,8.31,17.12,457.68,17.63,9.44
Transformers & T&D Equipment,13,HIGH_RELIABILITY,-0.8,-11.57,-5.49,0.6,5.38,10.16,13.45,9.56,12.17
Travel Tech SaaS Solutions,1,RESEARCH_ONLY,2.48,-7.81,-3.31,1.2,5.24,9.28,42.97,8.08,9.01
Tyres & Rubber Products,9,MODERATE_RELIABILITY,-3.01,-11.04,-6.47,-1.91,2.23,6.36,9.66,8.27,9.13
Utilities,1,RESEARCH_ONLY,-3.7,-12.51,-7.21,-1.91,8.55,19.01,27.55,20.92,10.6
Water & Wastewater Treatment,5,MODERATE_RELIABILITY,-3.36,-9.97,-5.4,-0.83,3.73,8.29,11.5,9.12,9.14
Wealth & Asset Management,1,RESEARCH_ONLY,-0.13,-8.65,-3.38,1.9,6.43,10.96,13.6,9.06,10.55
Wires & Cables,23,VERY_HIGH_RELIABILITY,-1.6,-9.55,-4.37,0.82,6.63,12.44,18.42,11.62,10.37
Zinc & Silver Mining,1,RESEARCH_ONLY,2.52,-7.98,-3.42,1.14,9.35,17.56,25.28,16.42,9.12
