industry,macro_sector,constituent_count,breadth_status,reliability_tier,confidence_score,current_strength,leadership_state,leadership_acceleration,forward_opportunity_score,best_horizon,final_opportunity_class,5D_exp_ret,10D_exp_ret,20D_exp_ret,30D_exp_ret,5D_exp_excess,10D_exp_excess,20D_exp_excess,30D_exp_excess,20D_P10,20D_P25,20D_P50,20D_P75,20D_P90,20D_P95,20D_P_pos,20D_P_gt_5,20D_P_gt_8,20D_P_gt_10,20D_P_gt_15,upside_asymmetry_score,model_consensus_score,analog_quality_score,data_completeness,regime_compatibility
Roads & Highways EPC,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,1.3,NEUTRAL,50.0,26.5,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.08,-2.81,-3.67,-4.27,-2.23,-3.16,-4.47,-5.47,-12.8,-7.53,-2.26,3.25,8.75,11.68,20.7,9.1,4.9,3.4,1.4,53.9,86.4,79.2,100.0%,HIGH
Renewable Energy Financing NBFC,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,-0.9,NEUTRAL,50.0,29.5,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.1,-2.83,-3.7,-4.31,-2.25,-3.18,-4.5,-5.51,-12.23,-7.79,-3.36,3.36,10.09,16.0,20.5,9.0,4.8,3.4,1.4,74.3,86.4,79.2,100.0%,HIGH
Steel Manufacturing & Mining,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,38.5,NEUTRAL,50.0,41.4,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.28,-0.26,-0.06,0.15,-0.43,-0.61,-0.86,-1.05,-7.52,-3.12,1.28,4.75,8.22,10.32,49.4,25.7,12.8,8.4,2.8,44.5,86.4,79.2,100.0%,HIGH
Semiconductors & Electronic Components,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,,NEUTRAL,50.0,25.5,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.31,-3.13,-4.12,-4.83,-2.46,-3.48,-4.92,-6.03,-10.3,-7.11,-4.12,-1.13,2.06,4.47,18.2,8.0,4.4,3.1,1.3,51.3,86.4,79.2,100.0%,HIGH
Superalloys & Special Metals,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,37.9,NEUTRAL,50.0,44.3,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.31,-0.3,-0.12,0.07,-0.46,-0.65,-0.92,-1.13,-10.23,-5.3,-0.38,5.78,11.94,18.78,48.9,25.2,12.6,8.2,2.8,66.1,86.4,79.2,100.0%,HIGH
Structural Steel Tubes & Pipes,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,41.6,NEUTRAL,50.0,44.1,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.29,-0.27,-0.08,0.12,-0.44,-0.62,-0.88,-1.08,-7.08,-3.35,0.38,5.04,9.7,11.6,49.3,25.5,12.7,8.3,2.8,63.1,86.4,79.2,100.0%,HIGH
Travel Tech SaaS Solutions,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,58.6,NEUTRAL,50.0,57.4,5D,INSUFFICIENT_INDUSTRY_BREADTH,0.99,1.54,2.48,3.26,0.84,1.19,1.68,2.06,-7.81,-3.31,1.2,5.24,9.28,42.97,71.4,57.3,29.7,18.9,5.0,54.2,86.4,79.2,100.0%,HIGH
Utilities,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,-0.6,NEUTRAL,50.0,33.2,30D,INSUFFICIENT_INDUSTRY_BREADTH,-2.1,-2.83,-3.7,-4.31,-2.25,-3.18,-4.5,-5.51,-12.51,-7.21,-1.91,8.55,19.01,27.55,20.5,9.0,4.8,3.4,1.4,99.0,86.4,79.2,100.0%,HIGH
Wealth & Asset Management,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,39.3,NEUTRAL,50.0,41.3,30D,INSUFFICIENT_INDUSTRY_BREADTH,-0.31,-0.3,-0.13,0.07,-0.46,-0.65,-0.93,-1.13,-8.65,-3.38,1.9,6.43,10.96,13.6,48.8,25.2,12.5,8.2,2.8,46.4,86.4,79.2,100.0%,HIGH
Zinc & Silver Mining,Other,1,INSUFFICIENT_INDUSTRY_BREADTH,RESEARCH_ONLY,20.0,58.7,NEUTRAL,50.0,63.8,5D,INSUFFICIENT_INDUSTRY_BREADTH,1.01,1.56,2.52,3.3,0.86,1.21,1.72,2.1,-7.98,-3.42,1.14,9.35,17.56,25.28,71.7,57.9,30.0,19.1,5.1,95.5,86.4,79.2,100.0%,HIGH
