sample_index,prediction_id,prediction_date,prediction_timestamp,latest_allowed_source_timestamp,industry,v34_predicted_return,actual_20D_return,lookahead_detected,pit_compliance
5045,PRED_V60_b7fb9a75b154,2024-12-18,2024-12-18T08:30:00,2024-12-18T08:30:00,Electronic Manufacturing Services (EMS),-2.2664,-5.58,False,VERIFIED_CLEAN
20092,PRED_V60_4ab62d7e0687,2025-06-02,2025-06-02T08:30:00,2025-06-02T08:30:00,Affordable Housing Finance Company,-0.9091,15.5,False,VERIFIED_CLEAN
1246,PRED_V60_8d3b395fa8c7,2024-11-07,2024-11-07T08:30:00,2024-11-07T08:30:00,Services,-1.9221,-1.64,False,VERIFIED_CLEAN
22255,PRED_V60_028c3867a2e7,2025-06-24,2025-06-24T08:30:00,2025-06-24T08:30:00,Services,-2.4217,-0.4,False,VERIFIED_CLEAN
2900,PRED_V60_e04243262758,2024-11-26,2024-11-26T08:30:00,2024-11-26T08:30:00,Financial Services,-1.2344,-2.36,False,VERIFIED_CLEAN
20040,PRED_V60_305ba1d77acc,2025-06-02,2025-06-02T08:30:00,2025-06-02T08:30:00,Agrochemicals & Pesticides,-0.8492,25.88,False,VERIFIED_CLEAN
3580,PRED_V60_e8f1fc9bbd5c,2024-12-03,2024-12-03T08:30:00,2024-12-03T08:30:00,"Logistics, Ports & Supply Chain",-1.2,-9.98,False,VERIFIED_CLEAN
14393,PRED_V60_6817e7769bd5,2025-03-27,2025-03-27T08:30:00,2025-03-27T08:30:00,Air Conditioners & AC Components,-0.1691,1.09,False,VERIFIED_CLEAN
10761,PRED_V60_eabdb6f4c906,2025-02-14,2025-02-14T08:30:00,2025-02-14T08:30:00,Water & Wastewater Treatment,0.8164,-21.22,False,VERIFIED_CLEAN
12796,PRED_V60_fdeb650ec58c,2025-03-10,2025-03-10T08:30:00,2025-03-10T08:30:00,Internet & Digital Platforms,-0.8409,4.38,False,VERIFIED_CLEAN
7565,PRED_V60_6608ea4229a7,2025-01-14,2025-01-14T08:30:00,2025-01-14T08:30:00,Railway Telecom,1.5586,-11.87,False,VERIFIED_CLEAN
9948,PRED_V60_42c775130120,2025-02-06,2025-02-06T08:30:00,2025-02-06T08:30:00,Services,-1.3195,-9.35,False,VERIFIED_CLEAN
14514,PRED_V60_b9d510feec8a,2025-03-28,2025-03-28T08:30:00,2025-03-28T08:30:00,Batteries,-0.2768,5.02,False,VERIFIED_CLEAN
19443,PRED_V60_b372a5d3e7d1,2025-05-27,2025-05-27T08:30:00,2025-05-27T08:30:00,Capital Markets & Asset Management,-1.9368,7.07,False,VERIFIED_CLEAN
26294,PRED_V60_9f0dc5508315,2025-08-05,2025-08-05T08:30:00,2025-08-05T08:30:00,Textiles & Apparel,-3.0537,-11.78,False,VERIFIED_CLEAN
10083,PRED_V60_7ba4c8acf60e,2025-02-07,2025-02-07T08:30:00,2025-02-07T08:30:00,Information Technology,-2.4938,-16.46,False,VERIFIED_CLEAN
5707,PRED_V60_54485e5fb18f,2024-12-25,2024-12-25T08:30:00,2024-12-25T08:30:00,Healthcare,-2.0642,-1.85,False,VERIFIED_CLEAN
22225,PRED_V60_02b814b2457d,2025-06-24,2025-06-24T08:30:00,2025-06-24T08:30:00,Plastic Pipes & Fittings,1.2037,-3.26,False,VERIFIED_CLEAN
19839,PRED_V60_dd6af47e7e28,2025-05-29,2025-05-29T08:30:00,2025-05-29T08:30:00,Railway Financing,3.2369,0.2,False,VERIFIED_CLEAN
3806,PRED_V60_c822ba990f65,2024-12-05,2024-12-05T08:30:00,2024-12-05T08:30:00,Media Entertainment & Publication,-1.2002,3.21,False,VERIFIED_CLEAN
24903,PRED_V60_7e4a38f0bc81,2025-07-22,2025-07-22T08:30:00,2025-07-22T08:30:00,Diagnostic & Healthcare Laboratories,2.1584,14.12,False,VERIFIED_CLEAN
250,PRED_V60_12de53415384,2024-10-28,2024-10-28T08:30:00,2024-10-28T08:30:00,Tea & Coffee,0.6576,2.06,False,VERIFIED_CLEAN
20149,PRED_V60_e9cbf42a497f,2025-06-03,2025-06-03T08:30:00,2025-06-03T08:30:00,Telecom Services & Infrastructure,-2.5362,1.29,False,VERIFIED_CLEAN
17346,PRED_V60_b25de9a54b6a,2025-05-05,2025-05-05T08:30:00,2025-05-05T08:30:00,Ship Building & Defence,3.4537,23.36,False,VERIFIED_CLEAN
736,PRED_V60_5821a8cfbd7f,2024-11-01,2024-11-01T08:30:00,2024-11-01T08:30:00,Paints,-2.312,-9.61,False,VERIFIED_CLEAN
