symbol,company_name,series,inferred_sme_status,current_macro_sector,current_industry,exposure_v3_sector,exposure_v3_industry,exposure_v3_confidence,v3_master_industry,primary_conflict,all_conflicts,conflict_count,review_status
BETA,Beta Drugs Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
BIRLAPREC,Birla Precision Technologies Limited,EQ,NON_SME,AUTO ANCILLARIES,Precision Bearings & Motion Controls,AUTO ANCILLARIES,Precision Bearings & Motion Controls,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Precision Bearings & Motion Controls' (exp_v3='Precision Bearings & Motion Controls', aligned=False)",1,REVIEW_REQUIRED
BLISSGVS,Bliss GVS Pharma Limited,BE,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
BLUEJET,Blue Jet Healthcare Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
BROOKS,Brooks Laboratories Limited,BE,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
BTML,Bodhi Tree Multimedia Limited,EQ,NON_SME,PAPER & PACKAGING,Paperboard & Packaging Cartons,PAPER & PACKAGING,Paperboard & Packaging Cartons,HIGH,nan,MEDIA_NAME_WRONG_INDUSTRY,"MEDIA_NAME_WRONG_INDUSTRY: Name implies 'Media' but stocks.industry='Paperboard & Packaging Cartons' (exp_v3='Paperboard & Packaging Cartons', aligned=False)",1,REVIEW_REQUIRED
CAPILLARY,Capillary Technologies India Limited,EQ,NON_SME,PHARMACEUTICALS,API & Bulk Drugs,PHARMACEUTICALS,API & Bulk Drugs,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='API & Bulk Drugs' (exp_v3='API & Bulk Drugs', aligned=False)",1,REVIEW_REQUIRED
CAPITALSFB,Capital Small Finance Bank Limited,EQ,NON_SME,PHARMACEUTICALS,API & Bulk Drugs,PHARMACEUTICALS,API & Bulk Drugs,HIGH,nan,BANK_NAME_WRONG_INDUSTRY,"BANK_NAME_WRONG_INDUSTRY: Name implies 'Bank' but stocks.industry='API & Bulk Drugs' (exp_v3='API & Bulk Drugs', aligned=False)",1,REVIEW_REQUIRED
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,NON_SME,PHARMACEUTICALS,Finished Formulations,PHARMACEUTICALS,Finished Formulations,HIGH,nan,PHARMA_HEALTH_NAME_WRONG_INDUSTRY,"PHARMA_HEALTH_NAME_WRONG_INDUSTRY: Name implies 'Pharma' but stocks.industry='Finished Formulations' (exp_v3='Finished Formulations', aligned=False)",1,REVIEW_REQUIRED
CHEMBOND,Chembond Material Technologies Limited,EQ,NON_SME,CHEMICALS,Industrial & Basic Chemicals,CHEMICALS,Industrial & Basic Chemicals,HIGH,nan,TECH_NAME_WRONG_INDUSTRY,"TECH_NAME_WRONG_INDUSTRY: Name implies 'Tech' but stocks.industry='Industrial & Basic Chemicals' (exp_v3='Industrial & Basic Chemicals', aligned=False)",1,REVIEW_REQUIRED
