prediction_id,session_date,prediction_timestamp,cutoff_timestamp,industry,v32_production_benchmark_return,v34_standalone_shadow_return,v34_direction,v34_uncertainty,v34_rank,ta_risk_level,ta_risk_category,ta_event_type,ta_invalidation_flag,ta_confidence,veto_applied,veto_reason,final_shadow_status,final_shadow_signal,manifest_hash,feature_snapshot_hash,ta_evidence_hash,matured_1D_outcome,matured_5D_outcome,matured_20D_outcome,matured_60D_outcome
pred_v56_2d7dc5887f8681ce,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Affordable Housing Finance Company,-9.19,-1.0154,0,7.5,32,WATCH,ELEVATED_VOLATILITY,NONE,0,29.1,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.5077,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,e5d6b54da7bdbffdabe670b635911f96726ce2f142c3d9d02fb56cc9c2da4bad,7df6380717b5d83f9261576fbfe687fd5cde0ddbc750154a92e9da03136a560a,,,,
pred_v56_f74733f8fb671179,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Footwear,-10.2,-0.1102,0,7.5,33,WATCH,ELEVATED_VOLATILITY,NONE,0,26.5,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.0551,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,7b406317fb780816246c9fcd2932b044f4f43cc7428133f7f7829fa56ef0904a,87d59d69fddfa1a1611982fdf01f53621472562d12f3c0f9442fbf000baa6c42,,,,
pred_v56_4ccd05f37ab4ee84,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Edible Oils,-9.06,-0.9769,0,7.5,34,WATCH,ELEVATED_VOLATILITY,NONE,0,29.1,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.4884,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,8dfd68043605ea75d128cb6f78d7fbe464e665a544c4dd73aa8e72bb480e538e,f07c1c2da7478a2ee3b69229f1cb98443526ceb1334ed1a1b047538832f18a99,,,,
pred_v56_698ab7228f8b5ecc,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Capital Goods,0.29,-3.0411,0,7.5,35,NORMAL,NONE,NONE,0,66.9,0,NONE,KEEP,-3.0411,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,21c20cc6722471b6052e5659a1d705f67c2405c9c4c588606fe5dc1ad2ca9b88,96fff2aa06c1e2e3c7d4be522446502b1ff9c461d1d4056eacc1ac0fe318fa8c,,,,
pred_v56_7764db34b0cba65e,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,"Textiles, Yarns & Apparel",-2.41,-2.8626,0,7.5,36,NORMAL,NONE,NONE,0,48.0,0,NONE,KEEP,-2.8626,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,17356884c1983bfbbee8dd9cc2e22126988c193cb4d68088bff399c5fa693064,06a77e569c33edd0abbe6a37bab703959929237dc8ea940ad981d6bf13cf6140,,,,
pred_v56_08661cc1923c5767,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Auto Lighting,4.28,3.8737,1,7.5,37,WATCH,ELEVATED_VOLATILITY,NONE,0,22.1,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,1.9368,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,283e281bbfcfda92d327a8f80fca3e4014cbfe3b9b2fa078f0ec7b930c554945,ea2c887f011dd836fe86353a4bb0b769b9f4bf8af48739285f7042512f668a08,,,,
pred_v56_adf03012bc7d62f2,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Cement & Clinker,-7.51,-2.7522,0,7.5,38,NORMAL,NONE,NONE,0,42.6,0,NONE,KEEP,-2.7522,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,6c3ae41e443c460f88ddb6259654a7706d64c3ab5f6459e75bb2891223ade825,17c05881c5f3a992bf15d6ecee3285a4193fbe39bb2e0934a3f86cc0552fb383,,,,
pred_v56_dbaf1ccdf7cf0749,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Dairy Products,-10.05,-0.3794,0,7.5,39,WATCH,ELEVATED_VOLATILITY,NONE,0,26.5,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.1897,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,99ab3c1052eded0c64f853ef4d96cb3f1ab2e847b02ef586f847533550f5a879,1a6b1533be45127af813442deee30f64e02abc5f473b0bac2c0292a1e03439b7,,,,
pred_v56_42c57f4561f92236,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Heavy Electrical Equipment,6.81,4.5303,1,7.5,40,NORMAL,NONE,NONE,0,44.3,0,NONE,KEEP,4.5303,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,09ae9e8a6a36cf7b9cc27704fb2a5b3f55f1f389bfb92f7ecc377200532d194c,8e3f74f44a8f4dfab0c841e8bb8a6dbcce7cb7aa766013682532809a550fa9bf,,,,
pred_v56_919c8e2cd9865355,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Renewable Energy Financing NBFC,-7.95,-1.0528,0,7.5,41,WATCH,ELEVATED_VOLATILITY,NONE,0,29.1,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.5264,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,b670dc7c8d1c058acb734aeae605a68f3253593272b3513c7c1fdaaad75f8e13,df30d1b9f9177eeefb2b65cfedaa193e02b4a6a3b6fa3d8c4b6b168dc5ba3954,,,,
pred_v56_8dd79cd1e6c9ca53,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Railway Infrastructure,-8.03,-0.8623,0,7.5,42,WATCH,ELEVATED_VOLATILITY,NONE,0,29.1,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.4311,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,8e4e5edfc7392c3cbf4ecee070b01eafc32c6636bb137fc813057df6e44f23c4,c1f32715086223e4a80f19aa95e1cafe6650aa306d346ac77c5d01fc9179f476,,,,
pred_v56_deb498e98b37a73c,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Sugar & Bio-Ethanol,-5.87,-3.1863,0,7.5,43,NORMAL,NONE,NONE,0,51.9,0,NONE,KEEP,-3.1863,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,c780c3833ba16ea9a8c438c401e7596bfc3caf91172ac6156d7b8da3d1d2c968,5c2ef1450386f271973011f9c8b5dae54cd104465aa90bd3f20de0c96d6a0977,,,,
pred_v56_a3a4b2b520ac46cc,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Aerospace & Defence,2.07,-2.0556,0,7.5,44,NORMAL,NONE,NONE,0,58.8,0,NONE,KEEP,-2.0556,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,245b414c853be616c6891f45a6204282c2957725b681f42f957d9d1ffabba3cc,c410c61ffdaa335796524d656767fe0a76242f4e6463e77649aa777af943ba1b,,,,
pred_v56_01c6e215fe45102b,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Automobile OEMs,-4.63,-1.4838,0,7.5,45,NORMAL,NONE,NONE,0,49.2,0,NONE,KEEP,-1.4838,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,c77417463ac68c02490ea87393591461ca249bb2c5c4b5774d418b57baed7393,50688424556d8b594795129840a4830aa15b53219c6dc455b51be0d323d5d315,,,,
pred_v56_faa0dbb068f307ed,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Chemicals,-6.03,-2.2808,0,7.5,46,NORMAL,NONE,NONE,0,39.5,0,NONE,KEEP,-2.2808,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,9e79e881bc83f1207c1258d13639003d2026c781c2eca070e310ed5c59e9c61f,e94d8022e0937eee43c8a77b35bc50c8d9129804fba6250e14da2996080d7884,,,,
pred_v56_4b454264e45795cc,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Fertilizers,-8.93,-1.0487,0,7.5,47,WATCH,ELEVATED_VOLATILITY,NONE,0,29.1,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.5243,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,bd22909fb8c069652189f6a702c6a3a020c750811ba3fc89ff96d5ed31b5d4d2,ea6ed047cb6fd31f4d5671451b6d81717d36bdc7be08083d30aee12872c0e4a0,,,,
pred_v56_91f9cef80c73ddc1,2026-08-24,2026-08-24T08:30:00+05:30,2026-08-24T08:30:00+05:30,Civil Buildings & Commercial EPC,-2.71,-0.77,0,7.5,48,WATCH,ELEVATED_VOLATILITY,NONE,0,29.1,0,WATCH_PROCEED_WITH_CAUTION,KEEP_WITH_WARNING,-0.385,3758a3458574e02b89756aa1caf35b819c35f9cf0caf467afecc66da77b13139,f390873d84f75c5f3de5a423f974e499d24a03daf42c344020e4f4545404bcbb,9c489897d4c3e5abe5ab37fb2cf0d807fba2c99c15fba1816e050c3e7fa8cf24,,,,
